Date,ResourceID,Service,Department,Environment,UsageAmount,Cost,Currency,Is_Waste,Unit_Cost
2026-02-17,res-4546,Lambda (Serverless),Sales,Dev,3.175752793757002,14.01,USD,False,4.41155244436573
2026-03-14,res-5544,RDS (Database),Sales,Prod,19.919203890731133,12.21,USD,False,0.6129763050260054
2026-03-10,res-6746,RDS (Database),Marketing,Staging,74.08206853881887,13.53,USD,False,0.1826352890363786
2026-01-27,res-8299,RDS (Database),Engineering,Staging,99.76601737129604,3.98,USD,False,0.0398933434937846
2026-01-02,res-6043,Lambda (Serverless),Marketing,Prod,73.10482266428366,16.45,USD,False,0.225019354407611
2026-03-15,res-4531,CloudFront (CDN),Marketing,Prod,1.04792272199322,2.94,USD,False,2.805550388685075
2026-02-12,res-1153,EC2 (Compute),Sales,Dev,9.59260617666269,23.54,USD,False,2.4539733589052304
2026-02-26,res-1309,CloudFront (CDN),Unallocated,Prod,28.961795693379543,47.58,USD,False,1.6428539343255033
2026-03-20,res-8565,S3 (Storage),Unallocated,Dev,66.92032985488308,22.97,USD,False,0.3432439745860564
2026-01-29,res-8665,EC2 (Compute),Unallocated,Staging,24.41694983179196,46.83,USD,False,1.9179299758000588
2026-02-27,res-1133,Lambda (Serverless),Sales,Dev,15.427554190738835,7.92,USD,False,0.513367180700255
2026-03-29,res-8147,CloudFront (CDN),Marketing,Dev,81.23017283665857,14.57,USD,False,0.1793668472095712
2026-02-07,res-2278,RDS (Database),Sales,Staging,58.443343045393135,43.05,USD,False,0.7366108397762756
2026-03-27,res-2292,CloudFront (CDN),Sales,Dev,39.71599933499763,32.36,USD,False,0.8147849869532164
2026-01-24,res-9707,Lambda (Serverless),Engineering,Dev,78.1961369307689,11.2,USD,False,0.1432295819154844
2026-01-01,res-1129,EC2 (Compute),Unallocated,Dev,79.06048977954458,33.27,USD,False,0.4208170236836553
2026-01-31,res-5758,EC2 (Compute),Unallocated,Prod,56.46555622691713,46.79,USD,False,0.8286467561209502
2026-03-28,res-5199,EC2 (Compute),Engineering,Dev,93.4785521774412,43.85,USD,False,0.4690915614178944
2026-01-20,res-4380,EC2 (Compute),Engineering,Prod,4.829564743654961,44.08,USD,False,9.127116487652827
2026-01-02,res-2922,CloudFront (CDN),Unallocated,Dev,30.01435134128188,34.51,USD,False,1.1497833022476411
2026-03-07,res-9064,CloudFront (CDN),Marketing,Dev,43.63438320567263,23.8,USD,False,0.5454414214546732
2026-03-02,res-1360,EC2 (Compute),Marketing,Prod,38.87164186384101,29.7,USD,False,0.7640531394077127
2026-01-10,res-7207,S3 (Storage),Sales,Staging,26.735062562342712,44.92,USD,False,1.6801905697902282
2026-02-18,res-4694,CloudFront (CDN),Data Science,Dev,0.0,140.69,USD,True,0.0
2026-01-26,res-4280,CloudFront (CDN),Data Science,Staging,27.64041693004668,45.19,USD,False,1.634924687075756
2026-02-10,res-3735,EC2 (Compute),Marketing,Staging,76.66457402939439,22.92,USD,False,0.2989646820604797
2026-01-10,res-1804,S3 (Storage),Sales,Staging,95.5947080809215,49.75,USD,False,0.5204262976344498
2026-03-29,res-2957,CloudFront (CDN),Data Science,Dev,60.9731497327258,32.9,USD,False,0.5395817690937122
2026-02-25,res-6355,Lambda (Serverless),Engineering,Staging,31.105366827260543,15.04,USD,False,0.4835178470494371
2026-01-05,res-6014,RDS (Database),Data Science,Staging,50.2214875118777,22.57,USD,False,0.4494092293594859
2026-04-01,res-5409,CloudFront (CDN),Data Science,Staging,26.22601309670159,44.22,USD,False,1.6861121756078696
2026-01-15,res-6847,RDS (Database),Unallocated,Prod,71.81326918158211,41.31,USD,False,0.5752418803765411
2026-01-31,res-2572,Lambda (Serverless),Marketing,Dev,15.332735842733232,26.12,USD,False,1.7035446425159189
2026-03-02,res-2846,CloudFront (CDN),Sales,Dev,41.379349506520406,10.59,USD,False,0.2559247577908702
2026-01-10,res-6508,S3 (Storage),Sales,Dev,0.0,110.82,USD,True,0.0
2026-03-15,res-2431,CloudFront (CDN),Engineering,Prod,68.53577744321949,12.53,USD,False,0.1828242192244897
2026-02-21,res-4619,Lambda (Serverless),Sales,Dev,24.571292856754223,29.15,USD,False,1.186343761801169
2026-01-11,res-1686,CloudFront (CDN),Sales,Staging,39.18591198559182,20.22,USD,False,0.5160017714385375
2026-03-22,res-4071,S3 (Storage),Engineering,Prod,18.710792415315915,48.07,USD,False,2.5691055158439897
2026-01-21,res-6751,RDS (Database),Engineering,Staging,88.97991066325432,11.05,USD,False,0.1241853348428149
2026-03-31,res-9076,EC2 (Compute),Unallocated,Staging,35.532454848091746,49.99,USD,False,1.4068828121703698
2026-02-26,res-4226,CloudFront (CDN),Sales,Dev,86.97712390716674,20.57,USD,False,0.2364989674981087
2026-02-12,res-2490,RDS (Database),Data Science,Dev,61.03779495157136,40.77,USD,False,0.6679468029988266
2026-02-09,res-6094,S3 (Storage),Unallocated,Dev,13.258564683464307,33.24,USD,False,2.5070587045863237
2026-01-10,res-1220,S3 (Storage),Data Science,Staging,92.68911959835192,30.94,USD,False,0.333804012100576
2026-01-22,res-4723,CloudFront (CDN),Data Science,Prod,15.915204233470185,33.54,USD,False,2.1074187618318025
2026-02-08,res-9136,Lambda (Serverless),Unallocated,Staging,14.905984627279857,43.02,USD,False,2.8860891162646114
2026-01-07,res-4379,CloudFront (CDN),Unallocated,Staging,97.10467388198028,30.64,USD,False,0.3155357901437313
2026-03-12,res-6748,EC2 (Compute),Marketing,Staging,1.6421510084770872,16.69,USD,False,10.163498919309571
2026-03-29,res-8938,S3 (Storage),Unallocated,Prod,45.34966921560341,24.49,USD,False,0.5400259896840384
2026-01-14,res-6806,EC2 (Compute),Sales,Dev,43.29944442079474,26.08,USD,False,0.6023171971110781
2026-02-20,res-8942,RDS (Database),Engineering,Staging,10.940563188226378,28.82,USD,False,2.634233677386414
2026-03-10,res-3202,CloudFront (CDN),Sales,Prod,19.92351946944052,29.82,USD,False,1.496723510408846
2026-03-21,res-4648,RDS (Database),Data Science,Staging,68.90835091475797,42.93,USD,False,0.6230014131829378
2026-03-02,res-8640,S3 (Storage),Sales,Dev,58.903096535723,20.13,USD,False,0.3417477379613098
2026-03-22,res-3802,Lambda (Serverless),Data Science,Staging,3.717010003558952,14.07,USD,False,3.78530054708712
2026-02-26,res-5596,RDS (Database),Marketing,Prod,55.9925243580141,15.53,USD,False,0.277358454151875
2026-01-13,res-9830,RDS (Database),Marketing,Dev,7.897703640784743,13.83,USD,False,1.75114193049485
2026-03-23,res-6123,RDS (Database),Unallocated,Prod,59.86422929737467,38.16,USD,False,0.6374424334512144
2026-01-12,res-8952,CloudFront (CDN),Unallocated,Staging,56.87739617912602,20.76,USD,False,0.3649956115188499
2026-03-18,res-3085,S3 (Storage),Marketing,Prod,94.38874494560912,7.18,USD,False,0.0760683914606283
2026-02-11,res-2051,EC2 (Compute),Sales,Prod,56.89662109962781,42.41,USD,False,0.745386969917576
2026-02-16,res-8735,CloudFront (CDN),Data Science,Dev,7.559533668240122,33.24,USD,False,4.397096627752483
2026-02-16,res-5991,Lambda (Serverless),Data Science,Staging,88.68156933025088,27.53,USD,False,0.3104365451346272
2026-03-23,res-3961,CloudFront (CDN),Engineering,Dev,37.88123614340707,1.53,USD,False,0.040389389464691
2026-01-26,res-8787,EC2 (Compute),Marketing,Staging,20.411648454282904,12.93,USD,False,0.6334618210263632
2026-01-03,res-9366,EC2 (Compute),Unallocated,Prod,0.0,96.75,USD,True,0.0
2026-02-01,res-1448,S3 (Storage),Sales,Prod,28.390541269892747,11.36,USD,False,0.4001332659355429
2026-02-03,res-2305,CloudFront (CDN),Sales,Staging,14.17091283959339,12.02,USD,False,0.8482163524721031
2026-03-22,res-3132,EC2 (Compute),Sales,Dev,31.342256617172666,9.51,USD,False,0.3034242274306885
2026-02-25,res-7962,EC2 (Compute),Data Science,Dev,46.67971763030191,25.82,USD,False,0.5531310237240825
2026-02-07,res-5489,EC2 (Compute),Unallocated,Dev,26.465110613308724,49.23,USD,False,1.8601849325066984
2026-03-08,res-2534,CloudFront (CDN),Data Science,Staging,71.42633254213719,30.41,USD,False,0.4257533449874379
2026-01-16,res-4849,EC2 (Compute),Sales,Staging,22.258034451790472,6.66,USD,False,0.2992177954628091
2026-03-20,res-7881,EC2 (Compute),Marketing,Prod,0.0,178.71,USD,True,0.0
2026-01-27,res-6573,S3 (Storage),Sales,Prod,8.450164295256275,4.18,USD,False,0.4946649383310279
2026-01-09,res-5011,Lambda (Serverless),Marketing,Staging,64.38294388307125,7.86,USD,False,0.122082022441765
2026-03-15,res-2562,CloudFront (CDN),Unallocated,Prod,54.68258537467444,21.49,USD,False,0.3929953174809621
2026-02-25,res-2896,RDS (Database),Data Science,Staging,24.173073833125752,28.37,USD,False,1.1736198795340194
2026-01-05,res-8805,EC2 (Compute),Marketing,Prod,7.172073923861614,17.94,USD,False,2.501368528887204
2026-02-06,res-6373,Lambda (Serverless),Marketing,Staging,87.97179588550877,43.17,USD,False,0.490725459966553
2026-01-31,res-5732,CloudFront (CDN),Data Science,Staging,81.15682252589549,37.4,USD,False,0.460836179090999
2026-02-24,res-7477,EC2 (Compute),Data Science,Staging,55.89914886504181,23.13,USD,False,0.4137808977350106
2026-03-27,res-6211,S3 (Storage),Sales,Prod,5.722718923266318,36.3,USD,False,6.343138722473074
2026-02-05,res-7753,EC2 (Compute),Marketing,Dev,43.928511033934136,42.89,USD,False,0.9763590659120702
2026-03-13,res-5596,EC2 (Compute),Sales,Staging,0.0,62.85,USD,True,0.0
2026-03-17,res-1944,Lambda (Serverless),Unallocated,Dev,15.125581638708727,19.67,USD,False,1.300445858535542
2026-02-27,res-4222,S3 (Storage),Engineering,Dev,66.61457267352472,37.23,USD,False,0.5588867196140804
2026-02-14,res-8184,RDS (Database),Data Science,Dev,42.85461796988142,9.19,USD,False,0.2144459672107871
2026-03-25,res-4530,EC2 (Compute),Data Science,Dev,23.72750437012952,34.48,USD,False,1.4531658897682795
2026-04-01,res-7869,CloudFront (CDN),Marketing,Prod,98.06765499048976,0.7,USD,False,0.0071379294229874
2026-01-05,res-6496,S3 (Storage),Data Science,Prod,77.80525972044288,5.54,USD,False,0.0712034124672987
2026-03-30,res-3062,S3 (Storage),Engineering,Prod,46.20111724682961,1.29,USD,False,0.0279214027034924
2026-01-24,res-2802,CloudFront (CDN),Marketing,Staging,83.26056696958621,5.1,USD,False,0.0612534863215974
2026-03-21,res-5920,EC2 (Compute),Marketing,Prod,1.934289385688447,25.13,USD,False,12.991851263794118
2026-01-04,res-1295,Lambda (Serverless),Marketing,Dev,84.5476240970767,30.49,USD,False,0.3606251544690563
2026-01-10,res-4909,S3 (Storage),Sales,Staging,4.8053387997681725,6.7,USD,False,1.3942825426426193
2026-01-26,res-5951,EC2 (Compute),Engineering,Staging,11.047157297738597,22.88,USD,False,2.071121048007856
2026-02-15,res-9446,CloudFront (CDN),Unallocated,Prod,14.981993093061996,37.06,USD,False,2.473636169086348
2026-02-17,res-4498,RDS (Database),Data Science,Dev,46.37447597634891,12.4,USD,False,0.2673884661537529
2026-03-25,res-4040,EC2 (Compute),Engineering,Staging,15.296772185927477,9.9,USD,False,0.6471953611957215
2026-02-09,res-6396,EC2 (Compute),Unallocated,Prod,45.191309672596816,12.79,USD,False,0.2830190161042317
2026-03-28,res-3859,Lambda (Serverless),Sales,Dev,51.8717414415034,39.06,USD,False,0.7530111562583376
2026-01-17,res-3431,Lambda (Serverless),Unallocated,Dev,18.175724339679768,19.1,USD,False,1.0508522050096474
2026-03-03,res-4921,Lambda (Serverless),Engineering,Prod,16.614758029371774,43.14,USD,False,2.5964868055096906
2026-02-14,res-4346,CloudFront (CDN),Data Science,Dev,29.764645321373184,36.34,USD,False,1.2209115750458897
2026-01-27,res-9515,CloudFront (CDN),Sales,Staging,10.55149692292808,7.49,USD,False,0.7098518868658776
2026-01-01,res-2631,EC2 (Compute),Sales,Staging,42.56899699042392,1.83,USD,False,0.0429890326147845
2026-03-28,res-5940,RDS (Database),Marketing,Prod,10.852181268509408,13.97,USD,False,1.2872988069723643
2026-01-27,res-7923,RDS (Database),Sales,Prod,8.787631007043828,45.21,USD,False,5.144731266454111
2026-01-03,res-1913,Lambda (Serverless),Marketing,Prod,90.17221074671954,46.32,USD,False,0.5136837570735185
2026-02-09,res-3581,CloudFront (CDN),Marketing,Staging,89.12361591106001,5.01,USD,False,0.0562140567209445
2026-03-23,res-9776,RDS (Database),Unallocated,Staging,18.571496514445307,2.92,USD,False,0.1572301940088006
2026-01-30,res-7643,RDS (Database),Unallocated,Dev,31.40110364851164,45.29,USD,False,1.442305993666776
2026-03-17,res-2325,CloudFront (CDN),Marketing,Dev,88.6727879073652,30.7,USD,False,0.3462166998975121
2026-01-18,res-4831,S3 (Storage),Marketing,Prod,43.31860913597984,49.63,USD,False,1.1456969877358782
2026-01-31,res-8122,S3 (Storage),Unallocated,Staging,20.892038886721576,13.31,USD,False,0.6370847801005904
2026-02-07,res-8716,Lambda (Serverless),Marketing,Dev,87.82430564321739,5.08,USD,False,0.0578427573414276
2026-02-09,res-8830,Lambda (Serverless),Unallocated,Staging,93.52276124142544,40.78,USD,False,0.4360435840290043
2026-03-10,res-4757,S3 (Storage),Engineering,Prod,0.0,141.73,USD,True,0.0
2026-02-22,res-3560,S3 (Storage),Engineering,Dev,35.73750105266748,49.42,USD,False,1.3828610995259067
2026-03-29,res-7155,S3 (Storage),Unallocated,Dev,91.3547348175326,0.24,USD,False,0.0026271216317289
2026-01-14,res-2839,EC2 (Compute),Sales,Dev,25.69671071033097,25.41,USD,False,0.9888425132086768
2026-01-21,res-1072,RDS (Database),Data Science,Prod,25.251389539036943,1.52,USD,False,0.0601947072120598
2026-03-12,res-1445,Lambda (Serverless),Unallocated,Dev,44.32618344372042,27.17,USD,False,0.6129559977681568
2026-03-11,res-5981,Lambda (Serverless),Data Science,Staging,2.247705370588965,17.15,USD,False,7.630003569153813
2026-01-25,res-1059,Lambda (Serverless),Sales,Prod,32.11767244834071,11.49,USD,False,0.3577469699425123
2026-03-07,res-1623,EC2 (Compute),Sales,Dev,65.55941943737544,1.08,USD,False,0.0164736053074974
2026-02-09,res-3642,RDS (Database),Sales,Dev,48.54736092034496,22.01,USD,False,0.4533717092493111
2026-02-04,res-3704,CloudFront (CDN),Unallocated,Prod,12.63227766419837,29.07,USD,False,2.3012477062935703
2026-02-01,res-3117,Lambda (Serverless),Unallocated,Prod,50.85554462070361,49.35,USD,False,0.9703956641909466
2026-01-23,res-6299,S3 (Storage),Sales,Dev,31.61073354738913,39.5,USD,False,1.2495755576435357
2026-02-05,res-1909,S3 (Storage),Marketing,Prod,86.47657487353219,30.89,USD,False,0.3572065619524724
2026-02-14,res-1760,S3 (Storage),Marketing,Staging,80.97939631440808,44.89,USD,False,0.5543385360112032
2026-02-14,res-1696,CloudFront (CDN),Marketing,Staging,64.45274539995559,47.25,USD,False,0.7330952266935173
2026-03-31,res-2424,EC2 (Compute),Data Science,Prod,97.02884829278293,15.69,USD,False,0.1617044855840779
2026-01-05,res-2821,S3 (Storage),Marketing,Dev,26.887345062600225,23.03,USD,False,0.8565367813884415
2026-03-02,res-4944,EC2 (Compute),Sales,Staging,56.7016269897003,3.29,USD,False,0.0580230264044737
2026-03-04,res-1658,CloudFront (CDN),Marketing,Prod,13.50896234426683,22.16,USD,False,1.6403924620757158
